,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
714,30U1YOGZGCAFBNNEO6U1ZIMN0QSDS9##373ERPL3YRNDEHHSL90D3WV29NQTRK##A2KYOM2ZGYDJGT##Blog_1171906##q1_a1##386659BNTNVLIJNQZBRMOAFVGAY10U,"It makes the separation from loved ones so much easier . So on a very personal note : I want every member of my family and all of my friends - near and far , to know how much I love and cherish each one of you ! My life is what it is because of you and the things you have taught me and the experiences you have shared with me . I have been so blessed !",Why have I been so blessed ?,Because i want you to know how much I love and cherish each one of you .,Because of the things you have taught me .,Because I have a loving family .,Because it makes the separation from loved ones so much easier .,2,1,[-3.236  -0.0768 -4.99   -3.098 ],1,[-27.827284 -19.873047 -22.372463 -30.695742]
744,306W7JMRYYWPJHBECELQV3AES3Z8BV##3VFJCI1K40XUENWFHCP6CFS4CZJGRJ##AJ7NSZOAFP05U##Blog_812761##q1_a1##3AA88CN98RHKLF5XFT8DLH5E1MPKYF,I got him a little gift he wanted and i do nt mind at all gettin him things . but he said that when he came back he would love to try and win me a stuffed animal and get me something in return . but he did nt . it kinda hurt my feelings .,What may have been the reason for your feelings being hurt ?,He did n't get a toy he wanted and it hurt my feelings as well as his .,I broke my promise to him .,I did n't get a toy I wanted .,None of the above choices .,2,0,[ 2.91   -0.7266  0.1515 -2.059 ],0,[-13.932806 -16.07406  -15.964781 -23.647316]
745,3HJ1EVZS2QX5SGL4GSOKWZVFNBJR30##3L2IS5HSFDX7ZW4PS796Z8CUQVHUNE##A1OPGPTQJ48XOY##Blog_1174641##q1_a1##3R5OYNIC2ENPFK3JIFQM9HZYG10PTX,"I woke up today feeling negative and i hate it . So i intend on just saying it all here and hopefully leaving it behind . I am sorry that i did n't even think to call once i got there , and I do understand your frustration and therefore understand your reaction . But what made me feel negative this morning as i woke up was the fact the way you were actually treating me at the time .",What might happen if you just apologized to them and accepted the blame ?,We would continue to bicker because I know that I am right,They would continue to make me feel bad for not calling even though I apologized,None of the above choices .,They would not accept my apology knowing that I was just trying to get over the fight,2,3,[ 2.828  0.809 -1.017  4.875],1,[-31.656532 -20.05069  -25.124521 -23.5875  ]
746,3H6W48L9F4N2DC86TMJX43IPRNFPWS##3QHK8ZVMINGNK8TRW60WPSS8RY2LBQ##AXJ1PE87PD0KK##Blog_1266575##q1_a1##3X878VYTIGWQQ9HIR9RGSRTCPU07F6,"I certainly do n't need someone who keeps nagging about loosing weight all the while rejecting to do anything against it . So when this other more solemn but dear friend of mine approached me to do the competition with her , I would have been awefully stupid to say no . So yes , I behaved immaturely not to tell you that you are a lazy , fat , depressed person and that I could no longer stand the sight of you ... but would it have changed anything ? No , cause you 're so incredibly full of yourself .",Why did I behave immaturely ?,I was too lazy and depressed not to .,I was angry at you for being selfish .,I was grumpy from loosing weight .,I was asked to do a competition with a friend .,1,2,[-2.1   -3.555 -1.624 -2.188],3,[-25.817192 -22.232586 -27.957062 -18.27939 ]
758,3E9VAUV7BWCZFDX4J4JOZ5EA3EYAYP##3KWTYT08711LVSCIVW9JM6SGHMUL57##A394JO4NEPCY3M##Blog_710320##q1_a1##3YOAVL4CA2VZC3QZQNNGS7PKAZVZ4X,"It is truly changing the course of business in the entertainment industry . Creative Core found us over the internet and all of our correspondences with them have been , yes over the internet . Due to the internet Mary Kate and I were able to research the entertainment industry for our business plan , create our movie , market it , and distribute it all without the help of a major studio .",What might be different if not for the internet ?,The narrator would research the entertainment industry,The narrator would n't need the help of a major studio,The narrator would need the help of a major studio,None of the above choices .,2,1,[-1.85  -1.215 -2.566 -2.645],1,[-29.018345 -20.336845 -22.163565 -24.149899]
763,3HXK2V1N4KDAOJH0CJ43MNO8MBI2GC##3BXQMRHWK0WMMPKIW9I6UVZLEQQUMB##AXJ1PE87PD0KK##Blog_1233212##q1_a1##3EQPA8A376APFL9KTUAKY9E3SLPJZQ,Then I went to Walmart to pick up 4 RX refills I called in yesterday . They had 3 but the doctor who prescribed my Lisinopril for high blood pressure is the one we just dropped and he did n't call them back . They loaned me 4 from my next prescription so I have about a week 's worth left .,Why did n't the doctor call back ?,The doctor was too sick to call .,None of the above choices .,The doctor had high blood pressure .,He was angry they dropped him .,3,0,[-0.2622 -1.888  -1.832  -0.665 ],1,[-28.504128 -25.636297 -29.378859 -26.339466]
771,3SU800BH886PF9JNIXVLEIBA421UQA##3LKC68YZ3DI29LT6OMOKWLXW1MSWOR##A1OPGPTQJ48XOY##Blog_202049##q1_a1##39RRBHZ0AWFY6G9EAJO31XPXNLNZV8,All my hard work getting him to sleep disappeared . Now he was rudely awakened and of course not tired anymore since he had a short nap . I was so frustrated and guilty over dumping a cup of cold water on my babies ' head .,Why did you dump a cup of cold water on the baby 's head ?,I was carrying water while I went over to him and the cup slipped from my hand and I dropped water on him accidentally,None of the above choices .,I was annoyed that he had woken up and I had water in my hand and could n't resist so I poured it over him,I wanted to shock him awake so I used water to do so knowing that water is totally harmless,0,2,[-0.3252 -1.972   0.663  -1.615 ],2,[-24.558363 -25.54525  -18.87748  -25.98211 ]
776,3N5YJ55YXG153ETQC2ADIPG3ZJIAN1##3K5TEWLKGW903LJRGKUJYOUNCS4IV6##AJ7NSZOAFP05U##Blog_1219011##q1_a1##3YGYP13643NCWKEEYB8Z5DTLSW4RNI,"Never ever tried to buy it without discount except I got more than 3,000,000 payment at that month XD Anyway or soo ... I found that they are selling some Andre Valentino 's shoes . so I go there and check if there are any Sandals or shoes I like .",What may be your reason for looking at Andre Valentino 's shoes ?,I found some attire that I would enjoy .,I wanted to see if there was a discount on sandals .,I had a lot of money to spend .,None of the above choices .,2,0,[ 9.16    2.143  -0.3262 -1.608 ],0,[-18.334826 -26.869625 -22.566933 -25.139175]
784,3ODOP6T3ASIUC3OGHI22DYR5WDF42B##3NXNZ5RS1BV5HUPSUSLQFHFH7GH79J##A2LTOS0AZ3B28A##Blog_19851##q2_a1##3XDSWAMB246TTF2NW6ALKCP4X5AQCI,But i made it out safely . I am so happy that i paid attention to all my driving lessons over the last 2 years . After everyone got controll i was just shaking . it was so scary .,Why had they been taking driving lessons ?,None of the above choices .,They loved when their car was out of control .,They wanted to drive and not pay attention at the same time .,They wanted to be able to handle anything scary .,3,1,[-1.693   0.9507  0.2113  0.532 ],0,[-26.001043 -31.459742 -29.113625 -30.099136]
794,37Y5RYYI0RJT9TSVF6VDTPPFG44SXI##3EKVH9QME1JPT84AKTLXXK58TKSD2X##A8E99XNOTT390##Blog_1523649##q1_a2##3CRWSLD91MI3HP1YUICVY3ZGCNTOMX,"During the wee hours of Monday , a severe thunderstorm moved through the area , with it it brought lots of rain . LOTS . The storm was so severe it actually kept me awake , not good considering I was already having a hard time sleeping due to the excruciating headache I 'd had since Saturday ( and still have ) and my babies that kept waking .",What will I want to do next ?,Give the baby an aspirin to ease her pain .,Go back to sleep after feeding the baby .,None of the above choices .,Go back to sleep after feeding the baby an aspirin .,1,0,[ 2.676 -4.1   -4.4   -1.627],0,[-22.697876 -25.261715 -27.062347 -22.831087]
796,37Y5RYYI0RJT9TSVF6VDTPPFG44SXI##3EKVH9QME1JPT84AKTLXXK58TKSD2X##A8E99XNOTT390##Blog_1523649##q2_a1##3XH7ZM9YX48R7IAKX1PUNCY1NB6R9A,"During the wee hours of Monday , a severe thunderstorm moved through the area , with it it brought lots of rain . LOTS . The storm was so severe it actually kept me awake , not good considering I was already having a hard time sleeping due to the excruciating headache I 'd had since Saturday ( and still have ) and my babies that kept waking .",What caused the babies to wake up ?,Bright light from a flashlight .,Loud noises from their mother .,Loud booming noises in the sky .,None of the above choices .,2,3,[-6.266 -4.59  -5.56  -2.336],1,[-29.233675 -23.346054 -26.920135 -25.655611]
801,3VCK0Q0PO5C921V8K0DKTJ4QQU10NP##3YMTUJH0DTERIMGNQ0S035WJAF3T4I##AO33H4GL9KZX9##Blog_291015##q1_a1##3126F2F5FAHNQ1LMSK1RAVZXDKQPE6,"Somewhere in the haze of my quarter life crisis , ( Unnamed person for fear of losing his job ) and I figured out that we should make some plans for the future - knowing how this artist thing could be a humongous financial hit or miss . So for the past few weeks , we finally , seriously , decided to conceptualize and file our company at the BIR and SEC . Well somewhere between all that work last night I fell asleep and started dreaming stuff up ... okay ... fine ... this is actually another one of those dream journal things that crop up every once in awhile in the blogosphere . Now .",How might I be expecting this artist thing to turn out that I 'm filing with the BIR and SEC ?,I might not be expecting or hoping it to be a financial success .,I might be expecting but not hoping it to be a financial success .,I might not be expecting it to be a financial success but hoping it would .,I might be expecting and hoping it to be a financial success .,3,0,[2.965 1.288 2.793 1.416],0,[-15.868468 -18.16472  -18.07449  -19.534195]
806,3ULIZ0H1VA35J1AKCJLYD7NE4FO51G##3Z9WI9EOZ0MMRFEVBYYRW3IRXWGHKJ##AO33H4GL9KZX9##Blog_626340##q1_a1##3S8A4GJRD5HWI6P38ERS4ZW2IFW6VQ,"There 's a nice kid 's section where she plays and I read sitting on a bean bag near her . She 's crawling and pulling herself up already ! In spite of or because of the heat , our vegetable garden is going full steam ahead .",Where might be this kid 's section be located ?,None of the above choices .,This kid 's section might be located in a playground .,This kid 's section might be located in a McDonald 's .,This kid 's section might be located in a library .,3,1,[-2.514  4.883 -6.64  -1.34 ],1,[-25.736732 -12.444767 -28.344784 -16.274048]
813,366FYU4PTGN7LLPZVUKJMGPQQTPKEV##320DUZ38G8KDGZD297GXAO6D1M2GJB##A1I72NHC21347A##Blog_1603157##q2_a1##3WGZLY9VCJ0XS385A8OWIRMMOT38DG,"Sometimes , the best of intentions get interpreted incorrectly . In fact , this morning on my way to work , I spent quite some time gesturing at a woman in another car and yelling , "" Your tire is flat ! "" before I realized that she could n't hear me and was likely interpreting my actions in a threatening way .",What may happen if she could hear me ?,She would know tire was n't flat .,None of the above choices .,She would think tires were all good to drive .,She would tire is ok to drive .,1,0,[-1.454 -2.258 -4.164 -4.703],0,[-25.688103 -25.966228 -29.889122 -25.800314]
820,3TRB893CSJ8HAKE6IVLYIE5GX7K7G9##34T446B1C1CTXHWBLDA82S626UIC0O##A2LTOS0AZ3B28A##Blog_1290466##q1_a2##3J94SKDEKK3E5LP3CAHT67CVMDU5DN,"It was n't like a movie movie , more like a documentary . It was like you were really there . I ' m glad I watched it , but I had a stomachache the entire time and I do n't think I could ever sit through it again . The only thing I accomplished this weekend was infuriating the most amusing troll I ' ve ever encountered in 7 years of blogging .",Why did they have a stomach ache ?,"They tried hard not to make anyone mad and it did n't work , so they got a stomach ache .",None of the above choices .,Watching the movie made them sick and they could never watch it again .,They really made a troll mad and it upset their stomach .,2,3,[-1.137  -1.2    -0.0826  3.318 ],3,[-24.84151  -25.79089  -21.798761 -16.983347]
822,3O0M2G5VC605CN9F2RHHNLZJ2H094F##3OVHNO1VE7Z04U8FP3IBSXR68OCZDB##AJ7NSZOAFP05U##Blog_415346##q1_a1##3EHIMLB7F9DE4JD7W47M9C1KGQIH8U,"A number of very popular writers have been holding their collective breaths for some time now , and crossing fingers and things , in the hope that she will be the one to become Queen of Teen at the end of September . They have each egged their fans on to vote for them , so we 'll have to see who 's been more persuasive than her colleagues . If I ' ve got this right , I believe that a group of fans who nominated their favourite author , will be invited to come and meet her , and hopefully see her crowned .",What may be the reason for the authors being anxious ?,There is a heated competition that they all want to win .,There is a heated competition between fans that they 're trying to stop .,They have to organize a meet up with their teen fans .,"The Queen of Teen is going to select an author as her "" successor . """,0,3,[ 2.074 -1.74  -5.082  3.44 ],3,[-14.701181 -22.751614 -24.270542 -13.573234]
834,30Y6N4AHYPUOGJOUPJIWHATJLPYDR0##3QECW5O0KIZ9E5KN45BA8X2XBF3T51##A2LTOS0AZ3B28A##Blog_993122##q1_a2##3E22YV8GG3KRK7YZLJ4A0IT6RFRNPZ,Also we have no Internet here either so I had to email via iPhone and each time I pressed delete it deleted a whole sentence which made me cry . Yesterday at the park two dogs ran into me . Hard .,Why is this person so upset ?,None of the above choices .,The emailed customer service but did n't get an answer .,two dogs ran into them and made them cry .,Two dogs ran into them and made them drop their iphone .,2,1,[-2.54  -1.379 -4.24  -4.695],1,[-25.989267 -24.80508  -26.086548 -25.47049 ]
837,3Q2T3FD0ON6Z1B95RMG3I2DXOUT3MX##32EYX73OY17DJ5XA1HENGUTVMWIURW##AO33H4GL9KZX9##Blog_883971##q1_a1##38B7Q9C28IJYLZC05DMWCH75RND69A,"It 's done . My time biking with the Sea to Sea 2008 Bike Tour is over . I made it to Grand Rapids today ( safely , and without a single flat tire in 3 weeks ! ) and finished my leg of the journey .",What might be concluded about flat tires in a biking tour ?,Flat tires must happen rarely such that going 3 weeks without one is notable .,Flat tires must not happen often enough such that going 3 weeks without one is notable .,Flat tires must happen often enough such that going 3 weeks without one is notable .,Flat tires must happen rarely such that going 3 weeks without one is not notable .,2,0,[-1.498 -1.831 -2.004 -1.561],0,[-14.905474 -18.745493 -19.888693 -15.735132]
838,31SIZS5W5BTXZHR6E30G97OQVAJRQ1##39KFRKBFIQA6YQO63N68HIIC8A6OYO##A2KYOM2ZGYDJGT##Blog_1198941##q1_a1##3IV1AEQ4DTRAVP8XK4A7LPHZTE28JY,"Each 4th and 5th grade classroom would have their own spelling bee 3 days in a row . Then the 3 winners in each classroom would spell off . When each class had a winner , all those winners would spell off and that winner would move on to the next level . Not only did I win the spelling bee in my class , but I won all 3 days so there was no spell off in my class and I advanced to the overall 4th and 5th grade spelling bee .",Why will there be spelling bees in the classrooms ?,Because they have nothing better to do .,To entertain the faculty .,None of the above choices .,To make the students engage in competition .,2,3,[-4.81   -3.37    0.1938  4.055 ],3,[-26.45699  -23.180372 -25.081604 -17.368473]
880,3DGDV62G7QNVVL96Z06Q8UQ8GID2PW##3Z7EFSHGNCTGPW1T8MBF34HMMNYCXD##A2KYOM2ZGYDJGT##Blog_929265##q1_a1##3N7PQ0KLI73GJCGZUM4KXSWW8W5E36,I mean the other people in class may not know as much about computers as me but I thought a lot of the stuff was more remedial than that . The professor has a thick accent too so it was hard for him to get his point across to the other students . I do n't mind foreign accents but I do n't like interpretting for someone just so class is n't hung up for 45 minutes .,Why might other people in class not know as much about computers as me ?,Because I do n't mind foreign accents .,Because it was hard for the professor to get his point across .,Because I know a lot about computers .,None of the above choices .,2,3,[-3.992 -3.385 -4.145 -0.54 ],3,[-31.736225 -30.895454 -29.230381 -24.905636]
887,3VQTAXTYN5Z2B3HYZFYVJTGBH9ZUBA##38F5OAUN5QRDRP6IC1LIKW1EVFU7HC##AJ7NSZOAFP05U##Blog_372007##q1_a1##3QGHA0EA0LEF3763UFDW1H183N5BWI,"Others drank more . Some drank a * lot * more . Significant hangovers were reported the next day . However , nothing got ugly , everyone appeared to have fun , and only two glasses got broken ( from being dropped ) .",What may have caused two glasses to be broken ?,The party took an ugly turn as someone broke the two glasses to hurt others .,They were handled incorrectly as everyone was hungover .,They were handled incorrectly at the party .,The glasses were left on the table until the next day .,2,1,[-4.098  1.727  1.255 -3.605],1,[-31.856983 -21.80093  -21.904995 -26.36856 ]
892,308KJXFUJTKISGXHTW8PJMA3H68TAB##3FE2ERCCZ0NCPCW5C0AP4RP08W3POH##AO33H4GL9KZX9##Blog_873132##q1_a1##3VEI3XUCZTBCZ5QREQLR92YGSG3PRK,"School started yesterday . I would really like to use all this empty space to write about how much I despise that school this year and how bad they are fucking me over , but I figure that no one really wants to hear it . So instead I thought I would share a quick story .",Why might I really like to discuss how much I despise that school ?,Because complaining about the problems worsens some pent up emotions .,Because complaining about the problems relieves some pent up problems .,None of the above choices .,Because complaining about the problems relieves some pent up emotions .,3,0,[ 7.02    4.133  -0.7197  6.402 ],0,[-18.524427 -20.72298  -25.533926 -18.551357]
896,3R0WOCG21M7GWBGBTDD1MLG3SMEDUC##3I7DHKZYGOYZV02M9L6LRTNWK1I5FI##A2KYOM2ZGYDJGT##Blog_1038815##q1_a1##3IKDQS3DQGEGCHE4JY5CBAYI6XFCIR,"You 're somewhere much better than here ! I believe in a God who has created this place for His creation when their bodies give out . A place where there is no sadness , tears , pain but of worship and life !",What 's a possible reason the writer is saying that a person is in a better place than here ?,Because the person believes in God .,Because the person is a God .,None of the above choices .,Because the person is dead .,3,0,[6.445  5.32   0.2021 3.4   ],0,[-12.520226 -24.692318 -23.86936  -17.771105]
898,3T6EIBTM9LMYJVZ13Y58WJW30B3AAZ##3COPXFW7XCAE4WCJUB6W5CKII3NPKO##AJ7NSZOAFP05U##Blog_737522##q1_a1##32LAQ1JNTB327PBFZ1PGJNMXOCGTU9,I do n't have any mean intentions toward anyone . I am going to go read some of that training book . I think I have wrote everything that I wanted to say . I hope tomorrow will bring a better day .,What may be your reason for stopping your writing for today ?,None of the above choices .,I was frustrating some people .,I needed to read a manual .,I simply needed to end the day .,2,1,[-2.977  0.073 -2.96  -3.805],1,[-25.072363 -22.608582 -24.514593 -28.711275]
899,3T6EIBTM9LMYJVZ13Y58WJW30B3AAZ##3COPXFW7XCAE4WCJUB6W5CKII3NPKO##AJ7NSZOAFP05U##Blog_737522##q1_a2##307L9TDWJ06KDITCNL73NFQ5MHAN3U,I do n't have any mean intentions toward anyone . I am going to go read some of that training book . I think I have wrote everything that I wanted to say . I hope tomorrow will bring a better day .,What may be your reason for stopping your writing for today ?,People were frustrating me .,None of the above choices .,I was frustrating some people .,I simply needed to end the day .,0,2,[-0.558 -2.977  0.073 -3.805],2,[-23.208143 -25.072363 -22.608582 -28.711275]
914,30F94FBDNRI8H132FCWLMZ616PJBT4##3J4Q2Z4UTZ1QZ87FJ24OTS4NB62WQ3##AXJ1PE87PD0KK##Blog_131850##q1_a1##3IZPORCT1HNKMOS3VDDM0TWP6L7HRD,"Catnip = happier kitty . Her name is Roxy . I 'll post pics when I can get a cable to extract things off my camera . She 's a pretty brown and black tabby , and she 's a little flabby . We 're gon na try and get her to lose some weight , hopefully .",What will I do to help Roxy lose weight ?,I will encourage her to eat more salads .,I will feed her less food at meal times .,I will post pics so she can see her progress .,I will extract weight off of her surgically .,1,2,[-3.277 -4.39   2.922 -1.039],2,[-29.385977 -23.188171 -12.521867 -32.209167]
915,30F94FBDNRI8H132FCWLMZ616PJBT4##3J4Q2Z4UTZ1QZ87FJ24OTS4NB62WQ3##AXJ1PE87PD0KK##Blog_131850##q1_a2##3S1L4CQSFZJ89BFGYC302IV2Q26FA5,"Catnip = happier kitty . Her name is Roxy . I 'll post pics when I can get a cable to extract things off my camera . She 's a pretty brown and black tabby , and she 's a little flabby . We 're gon na try and get her to lose some weight , hopefully .",What will I do to help Roxy lose weight ?,I will extract weight off of her surgically .,I will limit the amount of treats I give her .,I will post pics so she can see her progress .,I will encourage her to eat more salads .,1,2,[-1.039 -4.48   2.922 -3.277],2,[-32.209167 -25.119976 -12.521867 -29.385977]
918,3RKHNXPHGWUOAHMLLUZOQYBTCOOKUV##3PXX5PX6LYW6OP2NZFB6GECXWDPBA1##A2KYOM2ZGYDJGT##Blog_1297877##q1_a1##3EPG8DX9LM4NUISTHJ8O61TK0PNP5X,"This week 's meal was a mish mash of ingredients : cow peas , potatoes , brown rice , bell peppers , tomatoes , garlic , and onions were sauteed in olive oil . Of course I pre - boiled the cow peas and potatoes and cooked the rice ahead of time . I originally had this meal earlier in the week , but could n't manage to get a decent picture because it was so late in the evening .",Why was the writer unable to take a decent photo in the evening ?,Because the cow peas and potatoes were pre - boiled .,Because the dish has a lot of different ingredients .,Because the rice was cooked ahead of time .,None of the above choices .,3,1,[-6.08   1.633 -4.73  -2.889],1,[-29.285715 -11.190911 -25.925777 -25.592285]
926,3GVPRXWRPHSV6BK18JL13QIWCEC7IP##3ZAZR5XV02GQZ221P7N08R9ON98CZ2##A1OPGPTQJ48XOY##Blog_938443##q1_a1##33BFF6QPI3PA0C2QFMYQJY3WFV8W3S,"Had a great birthday lunch with Peter . It got messy when I went to TCD . First , I showed up around 1:15 only to be asked if I had my assessment paper from my landlord . I had forgotten it at home .",What did you do after you found out you had forgotten your assessment paper ?,I had to go home to get the paper quickly,I had to reschedule the meeting because my time slot was taken up by someone else because I 'd forgotten my paper,I went to a cornerstore that had a printer and had it printed out there,None of the above choices .,0,1,[-0.443   0.4265 -3.64   -1.957 ],1,[-22.646225 -21.868822 -26.649992 -26.137306]
939,39N6W9XWRDL0P4A754BYVRPD1ODYGL##3FPRZHYEPZ5LDI18VHNWUISYRRN3V3##A2KYOM2ZGYDJGT##Blog_762341##q1_a1##3QQUBC64ZGSWTG0Q7AERUVF9T6DNXK,"As we were trying to find the right track , the rest of the group showed up . We had beaten them to the station ! It 's hilarious ... we left ten minutes behind them and yet made it there first . I ' m a better navigator than I thought :) Sadly , once we got to the station we could n't find / but a ticket for Marz , so she stayed behind in Paris .",Who was beaten to the station ?,Marz,The rest of the group,The writer,None of the above choices .,1,3,[-2.617 -2.934 -4.266 -2.596],3,[-29.207787 -27.284966 -28.206581 -26.385511]
948,3VJ4PFXFJ35IY4DZ93MZWK8X7A8UA0##3KAKFY4PGV0GRCH8WAODFT24KJF3IJ##A1I72NHC21347A##Blog_139714##q2_a1##3JYPJ2TAYKMFWFLINVLXSDKXPI0FP3,"Then josh called me back and convinced me to buy some weed . I wanted to anyway , but I was too pissed off to realize that if I did n't leave the house , I would n't get any . So I bought a quarter ounce off of him and picked up half a gram to smoke down while I was pulling shards of glass from my foot . So I pulled the glass from my foot and took a shower .",What happened after I bought weed from Josh ?,I bought enough to smoke some the same day,I refused to go out of the house so could n't get weed,None of the above choices .,I had no weed to smoke,0,1,[-5.58  -1.897 -2.658 -5.12 ],1,[-24.591333 -23.209955 -26.857216 -26.932783]
949,3VJ4PFXFJ35IY4DZ93MZWK8X7A8UA0##3KAKFY4PGV0GRCH8WAODFT24KJF3IJ##A1I72NHC21347A##Blog_139714##q2_a1##3SCKNODZ0ZU2E1UZPXAT0W2LRFG7NV,"Then josh called me back and convinced me to buy some weed . I wanted to anyway , but I was too pissed off to realize that if I did n't leave the house , I would n't get any . So I bought a quarter ounce off of him and picked up half a gram to smoke down while I was pulling shards of glass from my foot . So I pulled the glass from my foot and took a shower .",What happened after I bought weed from Josh ?,None of the above choices .,I refused to go out of the house so could n't get weed,I had no weed to smoke,I did n't have neough money to buy the weed,0,1,[-2.658 -1.897 -5.12  -3.684],1,[-26.857216 -23.209955 -26.932783 -26.182484]
954,385MDVINFCD6R158Y9ED77WDIKAWJS##33CID57105RIHDPEHDLQ79UW2QX3LS##AJ7NSZOAFP05U##Blog_1605135##q1_a1##3RDTX9JRT0FHPZQ5ONROIV71MWB97M,"And all manner of 25 - 35 year old women acting like crazed fan girls . It was just a little bit terrifying . But it was kind of weird cause there were girls there even younger than us , like 16 and stuff .",What may have been your reason for thinking the 25 - 35 year old women are terrifying ?,It was terrifying walking up to 25 year old women as a 16 year old .,They were n't acting their age .,None of the above choices .,They were acting their age in a young setting .,1,3,[-3.697  -0.2092 -1.872   2.977 ],3,[-26.303461 -18.401669 -26.213108 -14.296164]
955,3HKIF5DF60B0IS16HQVIO8KULX0G9Y##3M68NM076KM7CJ6GPWSKSM3OPLI6R1##AJ7NSZOAFP05U##Blog_1331406##q1_a1##3OPLMF3EU711TMJ1TRB3J1KMMAXLNG,"When we say goodbye , she heads to the front window where we can wave once more to her before disappearing into our car . Yesterday morning , while dropping her off , she wanted her old standby , the basset hound . John fetched the box and produced it for her immediately . We gave her kisses , instructed her to go to the window , and fled the room to meet her on the other side before she was distracted .",What may have caused her to head to the front window ?,She was giving a farewell .,She wanted to see the basset hound .,None of the above choices .,She wanted to see John .,0,1,[-3.05  -2.17  -2.934 -3.586],1,[-22.429111 -20.717018 -26.027325 -26.242916]
959,38O9DZ0A62L8RQSU06VHAWBJS4L62Y##3FFJ6VRIL2MKAKIBDN6UDV4XIS90I6##A1OPGPTQJ48XOY##Blog_460358##q1_a1##30EV7DWJTX9DM0K8DPECBY0W0SFY60,"We did end up going to Idaho last weekend . I spent the day Friday packing , cleaning , doing laundry , and loading the RV . ( Why it takes 6 hours to get a family ready for 2 days away I 'll never figure out ! )",Why do you think you 'll never figure out why it takes 6 hours to get ready for a short trip ?,I think it should only take an hour or two but it always takes ages and I think it will always be that way and I 'll always struggle to see why it is like that,I used to be prepared in barely an hour when I went on trips alone but with the family it takes less time because we are more people so I do n't see why people need 6 hours,I see other families take that long to get ready and when I do it it goes quickly so I can not understand or relate to why,None of the above choices .,0,2,[ 0.9727  0.3638  4.88   -2.316 ],2,[-19.259441 -21.247366 -17.761354 -25.53712 ]
963,3QHITW7OYQN5005PCSEUEHZGX96QAB##3LEIZ60CDME3WTU5XKP9YZWPP40Z9S##A29RROPO0Z90XV##Blog_1268294##q1_a1##3PIOQ99R7004CC6V2534AOG60GPUNF,Such a sad day for us brits and now Khan ends up like another prince nazim . Well unless a rematch is announced i think we can bid fairwell to how popular boxing has become over the last 5 months in england . Whilst i had my doubts about this fight i saw videos over the net of the columbian boxer and how hungry he was .,What will happen after the next boxing match ?,The boxer will get a knock out .,Boxing will gain even more popularity .,They will clench their hunger .,It will be a happy day for the brits .,0,1,[ 2.018  2.543  0.59  -3.21 ],1,[-23.94981  -19.208559 -25.473534 -32.185925]
967,3CO05SML7V3UHZN0D7U12390R0PR0L##3ERET4BTVN7TC9WCDMAZJMK3E0ZK9L##A2MHM7JK1T9XHR##Blog_737534##q2_a1##3K3IX1W4S85K0O4ACFZ5EC96S8TAP3,"The cookies themselves are n't too bad , for my first time with it and not knowing what the heck I ' m doing . Like a flavored biscuit , I guess . BUT STILL GOOD . Tomorrow , I think I 'll be daring and take it a step further by dipping them in MILK .",What may have happened if the cookies did n't taste good ?,I would have dipped them in more milk,I would have baked new ones,None of the above choices .,I would have baked biscuits,1,2,[-3.021 -4.168 -2.105 -4.324],2,[-29.465708 -26.246658 -25.946156 -29.551636]
979,31GN6YMHLR6EKTN551ZRR6B87BSSW1##3XLBSAQ9Z7RZIA6CINRPK35JTMOZ77##AJ7NSZOAFP05U##Blog_404022##q1_a1##356TQKY9XHBHBU7VJVLAIZCQ2VG87T,"They pretty much looked effortless , very elegant & quite beautiful ... Kym Johnson and Warren Sapp were up next and they did t he quick step . It 's amazing that a guy that big can work it so well . He has awesome footwork and he 's a real pleasure to watch . I really love these two . Normally the quick step is a dance that looks best with a tall , lean couple .",What may have caused Kym and Warren to do the quick step well ?,You need a guy that big to do the quick step .,They were a tall lean couple .,They had excellent mechanics .,Warren had excellent mechanics that carried Kym in the dance .,2,3,[-6.453 -3.031  2.547  3.527],3,[-28.73278  -27.466898 -25.620687 -23.958271]
986,3GS542CVJX122VCM0UCRKBT5US495Y##336KAV9KYT7SRJZ1GP8BA5F99HBY2J##A2MHM7JK1T9XHR##Blog_651982##q1_a1##3MJ28H2Y1GM59IGS2JV9H1OUQPK5OZ,"Whatever it was I was so tired . Music did n't help , nothing was good on the TV 's , I kept looking down at the time ... it was tough . And , like always , my face was red as a tomato when I got through .",What may have happened to me while I was so tired ?,I was planning to work out,I was having a workout session,I was having a music making session,None of the above choices .,1,3,[-5.242 -6.184 -2.18  -1.52 ],3,[-31.974564 -27.51326  -32.447445 -25.566343]
992,3WA2XVDZEMF0M64ATQQICXK8P8RE6Q##3RRCEFRB7NARM0M6QE1F3BQX4JMB4F##A1I72NHC21347A##Blog_805757##q1_a2##3N7PQ0KLI73GJCGZUM4KXSWW8QN3E1,I 'll be there till Monday . It 's sad that my first time there will be for Papi 's funeral but atleast I 'll get to see him one more time . I spent all of today with my parents at the passport place downtown .,What may happened before we were at the passport place all day ?,we went to visit grandfather,We made plans to attend grandfathers funeral,We flew International to attend a funeral,we flew out of the country,1,2,[-1.009  -0.9214  0.3271 -2.127 ],2,[-22.657125 -21.268198 -16.421354 -23.756664]
