id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
3EN4YVUOUE60AQ95SCMZ1OYSKS7XJ1##33OOO72IVK098FS93CAIE1WG9ODCTR##A2KYOM2ZGYDJGT##Blog_1336108##q1_a1##36FQTHX3Z55IC94FKV2UWKQB5ZSB33,"I followed a link to "" THE TRUTH ABOUT PALIN "" and arrived at the National Enquirer . Why I never before thought of them being on the web bemuses me . PALIN FAMILY SHOCKERS : WHAT SARAH 'S REALLY HIDING ! goes on about the eldest son who is going to Iraq .","Why did I follow a link to "" THE TRUTH ABOUT PALIN "" ?",None of the above choices .,I never before thought of them being on the web .,I wanted to learn more about Palin .,The eldest son is going to Iraq .,2,2,[-1.942 -1.88   2.545 -2.47 ],1,[-26.159653 -14.152897 -14.922397 -22.58472 ]
32W3UF2EZQZM4AFPY938H9O02QS4C7##3OE22WJIGL3S2THH8Z1N327ZX0GQUZ##A2MHM7JK1T9XHR##Blog_231006##q2_a1##3QREJ3J435B0LGYYWEJNR93JTU6KLL,"If I knew I would n't have gotten in trouble , I would have said , "" and a typical man is self - absorbed and thinks he 's so much better than a woman without cause or reason . now get out and take your derogatory comments with you . "" But unfortunately , I ' m afraid I 'll probably get fired or written up or something if I said something mean ( defensively or not ) to a customer . Especially one that comes in like every other day .",What may be true about my boss ?,They do n't value their employees,They do n't value their customers,None of the above choices .,They do n't tolerate sexism,0,0,[-2.559 -3.895 -4.03  -4.613],3,[-22.537777 -23.496212 -26.374868 -16.572578]
3KTCJ4SCVGZ3R8VQ4I2KU9Y0QPGM1J##3YDGXNSEO0S8K2OZN2H5C90WV4L84E##A394JO4NEPCY3M##Blog_689809##q1_a1##3SD15I2WD48C6XNKO4LML44JRLO36R,"I also bought a roll of fuchsia electrical tape . I brought my new tools home and marked them well . I then showed them to my beloved and said "" when you see this tape you should think these are NOT my toys""Now I 'll gather up my Felco 's , try and track down my Smith and Hawkin spade and fork and deliver them to the hardware store for resharpening . I 'll buy a new set of Women'sWork gloves and they will all receive a dose of the coveted fuchsia electrical tape .",What may happen after the tools are marked ?,The narrator will take the tools back to the hardware store .,The narrator will take the tools to be sharpened .,The narrator 's partner will borrow the tools .,The narrator 's partner will not touch the tools that have been marked .,3,1,[ 1.692  3.293  1.005 -1.67 ],1,[-23.450392 -17.76757  -26.270687 -21.49453 ]
3T5ZXGO9DEMR7JEQ4MIT3C2HDQOQZ3##3M68NM076I5SHU795ZGK0OFFJ8O6RQ##A394JO4NEPCY3M##Blog_1582245##q1_a2##38EHZ67RIO6FPCK06ZZNTUQEL0NMGR,"We went to the house , yesterday , to drop off boxes , and talk colors and locations of where we 'd put everything . We kept having window arguments . I know that Thad does n't like sunlight inside of houses , especially not in the bedroom . And I just hate sunlight , period .",What is probably true of the narrator ?,They do not like sunlight in the bedroom,They are not moving into a new home,They are moving in with Thad,They are not moving in with Thad,2,1,[-2.562 -1.161 -2.656 -2.51 ],3,[-21.211363 -21.725607 -21.403347 -20.317337]
3OYHVNTV5TWTXC2OP8NFRSJ4UVVKOZ##3ITXP059PXHG64MT47AEZ2PGPXXSJ8##A1I72NHC21347A##Blog_851074##q1_a2##3VMV5CHJZATJ27AKFW0ZF8L6FY4GTN,"Dan and I hit the trail last weekend for our first hike of the year . We ThOUGHT the Carbon River Road would be low enough elevation to be somewhat snow - free , but were def wrong . We had snow on the road all the way from the Evans off road area .",What may happen if we postponed our hiking trip to warmer weather ?,Carbon River Roads snow would be melted .,Carbon River Road would have more snow,We would hike through a lot of snow,None of the above choices .,0,2,[-3.15  -1.45   1.352 -1.486],2,[-26.527792 -22.303787 -19.782564 -26.071123]
3OYHVNTV5TWTXC2OP8NFRSJ4UVVKOZ##3ITXP059PXHG64MT47AEZ2PGPXXSJ8##A1I72NHC21347A##Blog_851074##q2_a1##36KM3FWE3TQZT52SOR8VPK68JKO70Z,"Dan and I hit the trail last weekend for our first hike of the year . We ThOUGHT the Carbon River Road would be low enough elevation to be somewhat snow - free , but were def wrong . We had snow on the road all the way from the Evans off road area .",What may happen if it rained before the hike ?,There woul dbe higher amounts of snow to hike through,None of the above choices .,Evans off road area would have a lot of snow falling,The snow would all be melted,3,0,[ 1.325 -2.953 -1.423 -2.576],0,[-16.6375   -26.8825   -23.962418 -27.271736]
3OYHVNTV5TWTXC2OP8NFRSJ4UVVKOZ##3ITXP059PXHG64MT47AEZ2PGPXXSJ8##A1I72NHC21347A##Blog_851074##q1_a1##3A520CCNWPEG3XFK31JUK0A2ET4EAJ,"Dan and I hit the trail last weekend for our first hike of the year . We ThOUGHT the Carbon River Road would be low enough elevation to be somewhat snow - free , but were def wrong . We had snow on the road all the way from the Evans off road area .",What may happen if we postponed our hiking trip to warmer weather ?,None of the above choices .,We would hike through a lot of snow,Carbon River Road would have more snow,There would be more snow on the trial,0,1,[-1.486  1.352 -1.45  -1.898],1,[-26.071123 -19.782564 -22.303787 -21.242723]
3OYHVNTV5TWTXC2OP8NFRSJ4UVVKOZ##3ITXP059PXHG64MT47AEZ2PGPXXSJ8##A1I72NHC21347A##Blog_851074##q2_a1##3421H3BM9CVA9UR7PWGLLLCADJIJ9U,"Dan and I hit the trail last weekend for our first hike of the year . We ThOUGHT the Carbon River Road would be low enough elevation to be somewhat snow - free , but were def wrong . We had snow on the road all the way from the Evans off road area .",What may happen if it rained before the hike ?,Evans off road area would have a lot of snow falling,None of the above choices .,There woul dbe higher amounts of snow to hike through,Carbon River Road would have more snow,1,2,[-1.423 -2.953  1.325 -1.907],2,[-23.962418 -26.8825   -16.6375   -24.63818 ]
33W1NHWFYHJ4ZZ6ILQCO8HD4XLUTZ3##3PPTZCWALRIUT3CKUPOVSWY5R67QZJ##A2VNR6984SDFGQ##Blog_453007##q2_a1##3MDWE879UJG4RBTV1434NXTX5K69B8,"So , in a follow up post to my previous NYC recap , I ' ve decided to post about all of the wonderful food that J and I ate while in NYC . While I did n't take pictures of some of it ( the kebab and corn dog we ate at the street fair and our horrid breakfast our day of departure ) I did take pictures of our food we ate when actually sitting down . Without further adieu : Mid - Afternoon Snack , Day 1 : Dave & Buster 's My chocolate , chocolate chip cake . Seriously , so good ... it had chocolate cake with chocolate ganache filling and chocolate chips embedded in the frosting on top .",What did the narrator do after visiting NYC ?,The narrator avoided talking about his trip to NYC after .,The narrator forgot about his trip to NYC soon after .,The narrator made a scrapbook of pictures of NYC .,None of the above choices .,2,3,[-3.338 -3.914 -3.814 -3.023],3,[-31.548986 -31.625362 -28.167095 -25.983826]
3RKHNXPHGWUOAHMLLUZOQYBTCONUK4##3X4JMASXCN7ANC457DEDR80KNQTB0O##A2CMYWI1J292YJ##Blog_1049031##q2_a1##3YLTXLH3DHKZABCOIL9XVYWA5YEHP6,"I sat in the corner and watched the night unfold . He dedicated "" Roll to Me "" to me , as it 's now Our Song . A woman asked , "" You two married ? ""","Where did he dedicate "" Roll to Me "" to me ?",None of the above choices .,in a karaoke bar,in a concert hall,in a recording studio,1,2,[-0.2588 -1.062   3.492   1.65  ],2,[-26.488117 -23.573961 -18.530005 -22.920424]
3UAU495MIIQ70870JMRHXFS2WVYOUN##3JV9LGBJWUCRHA4ZPK82IKNZ1IDGO0##AJ7NSZOAFP05U##Blog_1447376##q1_a1##3M0556243UYFTU957G85OOF2P7FNF3,"You all know what I mean . So anyways I am running late , flying down the road when a cute teen in roller skates caught my eye . I slammed on my brakes , thru the car in reverse and got my game on .",What may have been your reason for slamming on the brakes ?,I saw an attractive woman .,The car in front of me went in reverse .,I saw an attractive car .,None of the above choices .,0,0,[ 8.93  -2.238  5.74  -2.45 ],2,[-25.095907 -29.672876 -19.159788 -26.055462]
37Y5RYYI0P3EF4TOV8JD1R17NBSSX8##3DIP6YHAPDQQC4LSC8TILVCNA8W8EX##A394JO4NEPCY3M##Blog_1311298##q1_a2##3GL25Y68458QBYFQV9ZRHGQ9OQVMXV,"I feel not even second place to the bottle but more along the lines of fourth or fifth . He cares about the bottle , he cares about that fucking piece of shit drunken druggie slut whore whom he calls his girlfriend , and he cares about himself before he cares about me because if that was not the case he would be upstairs right now and not calling here probably drunk and angry from some payphone . He lost everything to drinking , everything . He lost his jobs ( he has n't been able to keep a job in years ) , his children , my mother who was with him for over 23 years , his health , and still he s too blind and selfish and stupid to stop .",What might be true if the narrator 's father was n't an alcoholic ?,He would n't have a job,He would be in poor health,He would n't be married to their mother,None of the above choices .,3,1,[-3.072 -2.592 -3.432 -2.705],0,[-23.180626 -23.99043  -24.831589 -24.140524]
3K3G488TR26T05U1XYBDE8VMCMXQ53##39PAAFCODNYQCZZ2AWTNCVWWOAKTV1##AO33H4GL9KZX9##Blog_1452295##q1_a1##3OKP4QVBP4BENBBB9W9IK3VERH6GA5,Lets just say that Dylan woke up today in a less than cheerful mood . We have been struggling with getting dressed but this week has been pretty good . I threatened to take him to daycare in his underwear . He has been getting dressed on his own all week .,Why might Dylan not in a cheerful mood ?,None of the above choices .,Because he had to dress himself under the joy of being half naked in front of people .,Because he had to dress himself under the fear of being half naked in front of people .,Because I had to dress him under the fear of being half naked in front of people .,2,2,[-2.076  3.32   4.8    2.893],3,[-26.57856  -27.467598 -21.473532 -21.109858]
3YLPJ8OXX8BVDJRD57NV3OL19JTX4M##3KOPY89HM90CMN1EES9DRUH4XZBJ3K##AO33H4GL9KZX9##Blog_1285110##q1_a1##3M7OI89LV020JXJ3HXWNE78DX1G6CD,"So in the interest of securing a no - hitter , the Brewers put together a DVD with instant replays of the play from all different angles in order to appeal the official scorer 's decision about the play . The Brewers claimed it should have been an error , and hence Sabathia would have pitched a no - hitter . How often do you go to such great lengths to prove that you made an error and to get others to recognize it ? Usually it 's just the opposite .",What must be true of the rules governing a no hitter designation ?,The base given up as a result of an error must count for the hitter as a hit .,None of the above choices .,The base given up as a result of an error must count against the pitcher as a hit .,The base given up as a result of an error must count against the pitcher as an error .,1,0,[2.861   0.12134 2.426   2.852  ],3,[-25.76431  -25.506628 -21.272034 -20.778297]
34HEO7RUG885C1KPP73UJ79LTLBRAW##3QUO65DNQX3PHH41TM9JEXCZG8QUO3##A1OPGPTQJ48XOY##Blog_602907##q1_a1##3Q2T3FD0OPMEV08CBKS3A015HXCM3H,"Problem was , I was being observed at that time by Prof . Valenciano , our practicum adviser . After class she told me all the things she observed about the way I teach . First , she said that I had the most prepared and organized lesson . Weeee ! ! !",What might have happened had Valenciano had bad feedback for you ?,I would have decided that teaching was not for me and quit my job,I would have sought a job at a different school because I do n't want to work with Valenciano,I would have felt awful but used the feedback to improve my lessons,None of the above choices .,2,2,[-1.268 -2.229 -0.774 -1.793],0,[-19.46597  -20.496199 -23.48045  -25.403261]
3U18MJKL1UKTWTQOWG64OK6RZM3CN5##39N5ACM9HFLUN0TSQEF7F3627EV9P8##AJ7NSZOAFP05U##Blog_513647##q1_a1##36FFXPMSTB2HPB0N3LWI6YRKVXBHOQ,"I polished some silver . I showered and attempted to beautify myself for my day despite my obvious lack of beauty sleep . I accepted my fate of scary dark under - eye circles . I am right now , to put it as succinctly as possible , a complete zombie .",What may happen if you miss your beauty sleep ?,I would still look good .,I would n't be able to get anything done that day .,I would have to polish silver .,None of the above choices .,3,0,[-0.2382 -2.678  -4.992  -2.646 ],1,[-28.102852 -21.182213 -30.724302 -25.568766]
3QREJ3J433VLRRZRCG7NZBFAZXVKL1##36U2A8VAG2X8DA4KLY2FI3DUMX6YKL##AJ7NSZOAFP05U##Blog_735748##q1_a1##3XT3KXP241CRW05397S9PA68A64I6V,"He stood up straight and wiped his eyes . "" You 're right . Do n't worry , I 'll be fine . I just , get a little freaked about it sometimes . "" I wrapped an arm around his shoulder . "" Its okay . Really . "" Frank smiled and kissed me softly , lingering for a second before hopping onto the boat . "" You coming ? "" He asked .",What might be the reason for Frank giving you a kiss ?,I calmed him down and he wanted to show his appreciation .,Frank was excited about going on the boat and showed it through that kiss .,None of the above choices .,He calmed me down and he wanted to show me that I should n't be freaked out .,0,0,[ 2.504  -0.876  -3.008   0.6885],3,[-18.872269 -27.040997 -25.939041 -13.81061 ]
38RHULDV90TPQFK90P5DN45LXUUIW0##3SKRO2GZ746QITSOT676WEQTIL11K0##AO33H4GL9KZX9##Blog_821470##q1_a1##3LOJFQ4BOZTHN4A6JXLZ8WVDJYSKDG,"i found the man i love again . i missed him a whole lot and today was just one of those times where when everything is just chaotic and no matter how many times you rest it is still chaotic in the back of our minds and then finally there is that break . it was great to talk on the phone with andrew for the first time in a very long time and feel like "" this is my guy , the one i missed like crazy .",What might have helped me decide Andrew was my guy ?,Talking to him on the phone and getting no break from the chaos because of it helped me realize it .,Talking to him on the phone and getting the chaos get out of control because of it helped me realize it .,None of the above choices .,Talking to him on the phone and getting the worse from the chaos because of it helped me realize it .,2,1,[-1.036  -0.6416 -2.043  -2.938 ],0,[-25.376692 -28.672985 -26.03868  -29.46307 ]
3UZUVSO3P7T2B9P2G6XZ1THUF5PEMD##3TVRFO09GLDUXBWS12SEEPJ08PXLXG##AJ7NSZOAFP05U##Blog_1288785##q1_a1##33Q5P9PUSR02773EJ2TYB51825GCZD,"Telling me how we wee little brats when we were younger , then saying we have a good head on our shoulders . He 'd ask how mom and dad were , and ask if they were still the same . If my moms gotten to the point of snow white hair , and if my dad 's still miserable .",What happened to your parents as they aged ?,My mother 's hair turned white .,None of the above choices .,My mom and my dad both lost the good head on their shoulders .,My father 's life improved greatly and was no longer miserable .,0,1,[-3.607 -0.894 -2.76  -1.991],1,[-23.359484 -22.87721  -28.743067 -24.93961 ]
3S8A4GJRD31HOHQWOGFSC18UPYR6VB##369J354OFE81S4YVPOM81K18FWH6GQ##A2LTOS0AZ3B28A##Blog_221701##q1_a2##3V7ICJJAZCU3U5NJK97D6PIHJOC4BJ,"Without being fondled ? When I got off the train at the next stop , I saw a group of women walking towards me . I immediately crossed the street .",Why were they fondled ?,They like to get fondled on the train .,None of the above choices .,A bunch of drunk women were partying on the train .,"When a bunch of women approached them , they stayed on the same side .",2,3,[-3.576  -0.4104 -1.464   0.6846],3,[-31.85458  -27.726597 -29.060041 -27.242376]
3S8A4GJRD31HOHQWOGFSC18UPYR6VB##369J354OFE81S4YVPOM81K18FWH6GQ##A2LTOS0AZ3B28A##Blog_221701##q2_a1##30OITAWPBSHEIOWH1WD098WV0TV9H0,"Without being fondled ? When I got off the train at the next stop , I saw a group of women walking towards me . I immediately crossed the street .",Why did they cross the street away from the women ?,They did n't want the women to see them being fondled by someone on the train .,They were tired of being fondled .,They wanted to be fondled by someone on the otherside .,None of the above choices .,1,1,[-0.1958  0.3567 -0.5234 -2.088 ],0,[-26.248579 -26.386341 -30.579967 -26.34106 ]
3OWZNK3RYLNTT1IVWOTKQ2PZVRJ2UE##333U7HK6IADA4F3B7HFP433GP04JDZ##AJ7NSZOAFP05U##Blog_1586917##q1_a1##3WJGKMRWVKNZ46YIRK41KDI5ER0CDG,"Here 's what I do recall . Things started off on the wrong note when my flight out of Vegas was delayed for an hour . Then I waited another hour for my bag to make it to the carousel , only to find out that my bag never made onto the plane in the first place . Bag ETA Friday morning between 9 am and 1 pm .",What may be the reason for things starting on the wrong note ?,My transportation did n't arrive on time .,The luggage carousel destroyed my bag .,I could n't recall what happened on Friday morning .,My transportation never arrived .,0,0,[ 8.266  -0.5967 -2.076   7.277 ],3,[-14.872398 -31.051868 -28.166992 -14.255482]
3OWZNK3RYLNTT1IVWOTKQ2PZVRJ2UE##333U7HK6IADA4F3B7HFP433GP04JDZ##AJ7NSZOAFP05U##Blog_1586917##q1_a2##3R16PJFTS554N8RDQMK65S176NG4K8,"Here 's what I do recall . Things started off on the wrong note when my flight out of Vegas was delayed for an hour . Then I waited another hour for my bag to make it to the carousel , only to find out that my bag never made onto the plane in the first place . Bag ETA Friday morning between 9 am and 1 pm .",What may be the reason for things starting on the wrong note ?,I could n't recall what happened on Friday morning .,I lost my luggage .,My transportation never arrived .,The luggage carousel destroyed my bag .,1,2,[-2.076   5.33    7.277  -0.5967],2,[-28.166992 -19.793827 -14.255482 -31.051868]
3T6EIBTM9LMYJVZ13Y58WJW30KDAAR##3ERET4BTVN7TC9WCDMAZJMK3E859KW##A1OPGPTQJ48XOY##Blog_98098##q1_a2##3KLL7H3EGFFCFV9K4XIW1QLSRTPHVF,"Sometimes , when asked about his political beliefs , he 'd say , "" I am on the side of the poor . "" As Spain edged closer to civil war , he said , "" I will never be political . I am a revolutionary because there are no true poets that are not revolutionaries . Do n't you agree ?",What might happen if he gets asked more and more pressing questions ?,None of the above choices .,People will begin to love his roundabout way of answering questions,People will begin to see him as a fraud because he does not give true and honest answers,people will buy into his philosophy and want to emulate his way of thinking,2,3,[-3.03   -0.6895 -1.444   3.572 ],3,[-25.74639  -27.147589 -18.996216 -16.538122]
3CZH926SIES118Z3U0937XO2MYPE4J##3A4NIXBJ79EYYOWV7S25V6RBAVFMLD##AJ7NSZOAFP05U##Blog_1278721##q1_a1##33IXYHIZB7WRYUKGQMQFEIR53XH2ES,"I walked to Steve 's apartment where I met up with him and Brennan . The plan was to go canoeing in the Eerie Canal , which we did . We first stopped to buy some Growlers to drink , which really put some pressure on our bladders about a mile down the canal . We also met a new friend which we named Walter and then released him : After packing up the canoe , we ate delicious calzones and saw The Dark Knight ( again ) .",What may have caused you to go to the Eerie Canal ?,We wanted to ride a boat on it .,None of the above choices .,Steve 's apartment is near there .,We knew we could buy some Growlers there .,0,0,[ 0.4348 -3.088  -4.504  -6.168 ],2,[-31.367992 -27.095678 -26.42397  -27.984335]
3JHB4BPSFK7C1SWD0OOUQO0OYKH9QI##39K0FND3AID27G6KQ41FUUNR908AMH##AO33H4GL9KZX9##Blog_1204199##q1_a1##3L55D8AUFCB22HT9NGRFXYS6WIMCYA,"He opened the fridge and the light flooded the room and Ryo gasped loudly as he turned around when something shiny had caught his eye . He stumbled up and turned the light on , blinking hard when the light seemed to attack his eyes . He turned around and stared with his mouth agape in surprise . He fucked up again .",Why might have Ryo opened the fridge in the dark ?,He might have gotten hungry at night and was looking for water .,He might have gotten thirsty at night and was looking for water .,None of the above choices .,He might have gotten thirsty in day time and was looking for water .,1,1,[-0.09814  0.2317  -1.657   -1.258  ],0,[-23.747213 -24.062939 -25.764938 -26.370798]
3G9UA71JVVSR1M47Q161FRXWPR77J3##39DD6S19JQ95W0MFLYTVYF9R8AQZE1##A1OPGPTQJ48XOY##Blog_202591##q1_a1##3VDI8GSXAH704NIWCYP4OCPJ1SUG8N,I did and thought it was really good ! But who do you think killed the little girl ? I reckon either the son 's mum ( the one who works in a shop ) cos she was pissed that her son got took away and was getting back at her ex husband . Or the little girl 's dad 's new wife cos she was mad about what happened to her baby .,What do you think would happen if the little girl was killed in real life ?,Children would be prevented from spending too much time away from home because of fear from the parents,People would be scared to let there children out to play alone,None of the above choices .,People would not believe what had happened,2,3,[-1.354 -4.63  -2.475  1.242],3,[-22.56542  -23.291718 -26.014559 -21.555115]
3CVBMEMMXBEVAG9H213G3EHHC1XH76##3RXPCZQMQQ96LIXYJIAR6OAR8NKG1Q##A1OPGPTQJ48XOY##Blog_1242545##q1_a1##34HEO7RUG885C1KPP73UJ79LTQMAR0,"He 's still really nice ... and cute ) . So as soon as she said that EVERYONE started digging through their pockets and wallets . For a minute or so , all you could hear was change jingling .",Why did his being cute cause people to try to find money ?,She knew that the cute kid would persuade people because people will do anything for a cute kid,They wanted to donate money to the cute kid which is what she was asking them to do,She knew people were more likely to feel sorry for a cute kid and give him money so she used that,She made everyone feel guilty because cute kids should get whatever they want,1,0,[ 0.1302 -1.61   -2.758  -1.433 ],0,[-21.434526 -27.478737 -23.668066 -29.74535 ]
3TD33TP5DL03254T9C54RUG9ITNBAU##3SB5N7Y3O426ETCGNZ6RSJRH3F20GZ##AJ7NSZOAFP05U##Blog_307952##q1_a1##3D06DR5227XEFL7XKZ7DX8FBN1SMAP,"Howdy y ' all , yes , it 's been a while , and a bit has gone on ... After being away from work for three days , because the doctor told me to , or he 'd put me on anti - depressants , I got back on Wednesday and resigned . I could n't keep doing it to myself . And when a job threatens your health , that 's just wrong .",What may be the reason for you resigning from your job ?,It made me depressed .,My doctor told me to quit that job .,I did n't show up to work for three days .,None of the above choices .,0,0,[ 2.402  -2.541  -3.312  -0.9688],1,[-20.491415 -19.733517 -27.408648 -24.62764 ]
32K26U12DP2V3F4II1Z6A56UZZGVD0##3XCC1ODXDOQ0M1P0456IYRKFPSRQRR##AGUF6B4Q9991D##Blog_322393##q1_a2##38EHZ67RIO6FPCK06ZZNTUQEL3NGMR,"When I passed by Die Linke 's stand , though , I saw the woman in charge of the balloons turning away some shaggy - haired young teenagers , telling them , the balloons are meant for the little children . We 're probably younger than you 're guessing , said one of the boys , how old do you guess we are ? The balloons are really for the little children , the woman said again .",How was the woman feeling as she talked to the boys ?,Pensive,Open - minded,Defensive,None of the above choices .,2,0,[ 0.829 -2.71  -1.211 -3.8  ],0,[-18.64982  -26.172506 -21.982162 -26.829264]
3JY0Q5X05J403DP7BYPSORI9W83GGH##3DY4FPOOA2MDWKMA67OSCGVE0J1VRS##A1OPGPTQJ48XOY##Blog_1194600##q1_a1##32204AGAADQTXYJPF2JA1PII4CWGHG,"Thanks heaps for that Wade , way to brighten my day . He then got angry at me for getting upset that my boyfriend of 3 years has moved on after only 5 days and refused to eat the roast dinner that I brought had spent all fucking afternoon and night cooking for him . Thanks again . The way he was acting tonight and the things he was saying have made me feel absolutely sick . Its like its not even him .",Why was Wade upset that you were preoccupied about your ex ?,He wants to know that I do not care about my ex and that I want to be with him not my ex,he wants to find ways to be mad at me because he prefers being mad at me over being happy with me,None of the above choices .,he wants to find anything he can to be upset about,0,0,[ 1.766 -2.766 -0.596 -1.759],1,[-25.961315 -24.773615 -25.791668 -26.962328]
3G4VVJO6PZEBICEP480UGSOU4I6KPV##351SEKWQS1F05N9WAESHKVVXUYUMDA##A1OPGPTQJ48XOY##Blog_702457##q1_a1##3KA7IJSNW8JPJY92ITZ19NTCASIPBL,"Unfortunately she 's bit enough that a playful nip can be painful . Wo n't break skin , but it 's a mean pinch . Today I had to trim her nails before bathing her . Hera apparently hates having her nails trimmed .",What is the reason that she hates having her nails trimmed ?,None of the above choices .,"She wants to have pretty , womanly nails and feels that when I cut them I prevent her from having her nails done well",I cut the nails too short and it causes her pain because the nail line is sensitive on her fingers,She wants her nails longer and hates that I make it hard for her to grow them,2,1,[-0.7036  0.874  -2.273  -1.32  ],1,[-25.173717 -20.535059 -25.590275 -26.907557]
391FPZIE4CKX8RLDF9WRD6V1K9LHUT##3CFJTT4SXUOYSVIVYMR3SAEKQ61I7A##A2LTOS0AZ3B28A##Blog_1505761##q1_a1##3ZFRE2BDQBSQA5E9AYPLPIMI3QIZXM,So I had this dream where some friends and I were conspiring against the government . We were planning to cause some kind of havok and we were all gathered together in a dimly lit living room . There was something on the tv related to the havok we were planning but as we were watching our screen door was busted open . A secret service agent in a suit wearing sunglasses walked into the room .,What are they dreaming about doing ?,Throwing a party on the television .,None of the above choices .,Creating havok that makes it on the television .,They were conspiring to pay their taxes to the government .,2,1,[-5.74  -4.12  -6.56  -4.812],1,[-31.624279 -25.933662 -27.384459 -32.331932]
3OND0WXMHWDGJVORP9HM9O9YYLREH9##37TRT2X24RPHPI5RTLOJ9DFGMBIBJ2##A2LTOS0AZ3B28A##Blog_1086364##q1_a1##37VE3DA4YWVX6HBEZGRW0ERLOXEHB6,"We need to ask our patients to exercise more days in week , we need to talk to our patients about the need to be the vanguards of their health . Ask your patients to recite their blood pressure reading at every visit , ask your patients to tell you about their weight changes at every visit , ask about detailed smoking and drinking habits . When you call your relatives in the village ask them if they know their blood pressure readings , if they answer no tell them to get it checked and get back to you . My uncle was telling me about his wonderful doctor and his blood pressure pills .",Why were the people being instructed to ask patients questions ?,They wanted them to be better doctors .,They want to write all the blood pressures down to give them medicine .,None of the above choices .,They want patients to start taking care of themselves and not go to a doctor .,0,1,[ 0.2384  2.975  -3.064   0.8228],3,[-23.966768 -26.193571 -25.16072  -17.707268]
3KL228NDMVK55ZLQ1PA7MJA23JQGKE##3Q8GYXHFEQ0SSOICIJGKJN2TM045C8##AXJ1PE87PD0KK##Blog_297053##q1_a1##3NCN4N1H1IVPGDXP2EM95YOHAA1BNP,"Continuing with the story ... As he approached this lady , she said , "" well , are n't you a cutie ? "" She continued by asking me , "" Why are you dropping him off ? "" I responded by telling her the story of how he was "" waiting "" when we got home . She said , "" Well , please do n't take him in yet . Can I spend a few minutes with him . I was looking for another animal but was waiting for someone until I went inside . "" I was glad to do it because my goal was to find a good loving home for this wonderful loving dog .",What did I do after answering the woman 's questions ?,I told her I was looking for another animal .,I decided to send the dog home with her .,I decided to take the dog home with me .,I decided to send the dog to the pound .,1,1,[-5.145 -3.016 -3.56  -3.61 ],2,[-26.897295 -22.325504 -22.277107 -30.346453]
3DW3BNF1GHG4SV9KHVCQWF4LV9WV8X##33CID57105RIHDPEHDLQ79UW3QEL3S##A33PQXKQHFVF3V##Blog_1489836##q1_a1##359AP8GAGIYJNXX8071FKL89SJ0C7W,"Apparently I signed up for a credit card through citibank sometime in 2005 . I sort of remember doing this , but either never got the card in the mail or threw it away as soon as it came in . I would get statements from time to time , but usually just threw those away too .",What would happen if I never use this card ?,None of the above choices .,Citibank will eventually close the account .,Citibank will sue me for negligence .,Someone could steal the card and use it .,1,3,[-1.728  -0.1866  0.21    1.479 ],3,[-26.736515 -26.402573 -26.746511 -21.820808]
3RHLQY6EDVIW92L3Y5YJ1F6HMKLD4I##3R8YZBNQ9KXQ4I5LVR8CTATFP9W7QV##AJ7NSZOAFP05U##Blog_726068##q1_a1##3AA88CN98RHKLF5XFT8DLH5F29UKYX,"Today was Faye 's birthday . I made banana bread last night to have with coffee this morning , and Bev made a chocolate cake ( to which she added apples and fennel - surprisingly delicious ! ) and Yelena made vanilla ice cream and raspberry sauce and drove out at lunch time to deliver it . Faye seemed very happy with all this , and of course everyone else was very happy with the delicious food .",What may have been your reason for making banana bread last night ?,None of the above choices .,Bev asked me to prepare some .,I was preparing for tomorrow 's breakfast .,I was preparing for Faye 's birthday .,2,3,[-3.254 -2.771 -1.583  2.152],3,[-26.335564 -23.454967 -26.693966 -16.370012]
3ZCC2DXSD720BVV7ZAX42RWH651YYN##3WYGZ5XF3XDBHOSBMSAQ0HPT6AMKS2##AO33H4GL9KZX9##Blog_241726##q1_a1##3RSBJ6YZEE4XBF9H8V8I3DF7FL1OF8,"Let 's see I like sports , cartoons , and cheesy sci - fi movies , so all I need is a picture of aliens playing volleyball against a bunch of cartoon animals . Which is just strange enough to be a fairly accurate representation of my personality . I even fail when asked to describe myself in a single word . Ummm tall ?",How might I view my own personality ?,I might view my personality as common enough to be described by nonsensical images .,I might view my personality as strange enough to be described by sensical images .,I might view my personality as normal enough to be described by sensical images .,I might view my personality as strange enough to be described by nonsensical images .,3,1,[0.82   3.098  0.1311 2.006 ],1,[-21.038767 -19.787386 -24.455856 -21.225973]
3K1H3NEY7NDCLIENT60KA43K9LDGDG##3N4BPTXIOB76RQJMVUHQ7GVQQZGUK5##AO33H4GL9KZX9##Blog_791741##q1_a1##36818Z1KV5RDTZZNEH2Y1965N1IA3M,"Suffice it to say that TO is not someone you want pissed at you . Anyway , I just came back recently from a trip to Boston to discover that JK had moved out of the apartment . She and TO had been fighting a lot and apparently needed some space . She is still "" with "" TO in some sense , though , and she has come over a few times to hang out with him .",Why would JK move out from TO 's apartment but still come over to hang out with him ?,"Because JK is ready to break up with TO , and does n't need some space .","Because JK is ready to break up with TO , and just need some space .",None of the above choices .,"Because JK is not ready to break up with TO , but does n't need some space .",2,3,[-1.228  -1.654  -1.719  -0.9004],3,[-28.983318 -26.26929  -25.548306 -23.758543]
